title,star_rating,price,source,title_cleaned
Arms and Armor: A Pictorial Archive from Nineteenth-Century Sources,3.96,0.0,Goodreads_Real,arms and armor a pictorial archive from nineteenthcentury sources
Having Our Say: The Delany Sisters' First 100 Years,4.02,0.0,Goodreads_Real,having our say the delany sisters first 100 years
A Couple of April Fools (The Hamlet Chronicles #6),3.48,0.0,Goodreads_Real,a couple of april fools the hamlet chronicles 6
Cat's Cradle (Cat  #1),3.85,0.0,Goodreads_Real,cats cradle cat  1
Paint it Black,3.48,0.0,Goodreads_Real,paint it black
Summer of the Dragon,3.92,0.0,Goodreads_Real,summer of the dragon
Pure and Simple: The Extraordinary Teachings of a Thai Buddhist Laywoman,4.29,0.0,Goodreads_Real,pure and simple the extraordinary teachings of a thai buddhist laywoman
Snow Flower and the Secret Fan,4.07,0.0,Goodreads_Real,snow flower and the secret fan
Cien años de soledad,4.07,0.0,Goodreads_Real,cien años de soledad
Magic Kingdom for SaleSold! (Magic Kingdom of Landover #1),3.89,0.0,Goodreads_Real,magic kingdom for salesold magic kingdom of landover 1
Il genio dei numeri,4.13,0.0,Goodreads_Real,il genio dei numeri
Data Structures and Algorithms in Java,3.83,0.0,Goodreads_Real,data structures and algorithms in java
Cliffsnotes on Beckett's Waiting for Godot and Other Plays,3.67,0.0,Goodreads_Real,cliffsnotes on becketts waiting for godot and other plays
A Kiss Before Dying,3.94,0.0,Goodreads_Real,a kiss before dying
The Pursuit of Happyness,4.19,0.0,Goodreads_Real,the pursuit of happyness
The World of Mr. Mulliner,4.32,0.0,Goodreads_Real,the world of mr mulliner
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),4.56,0.0,Goodreads_Real,harry potter and the prisoner of azkaban harry potter  3
Parallel Worlds: A Journey through Creation  Higher Dimensions  and the Future of the Cosmos,4.18,0.0,Goodreads_Real,parallel worlds a journey through creation  higher dimensions  and the future of the cosmos
The War of the Worlds,3.82,0.0,Goodreads_Real,the war of the worlds
Jojo's Bizarre Adventure  Tome 9: Ruée vers la falaise de la mort! (Battle Tendency  #4),4.27,0.0,Goodreads_Real,jojos bizarre adventure  tome 9 ruée vers la falaise de la mort battle tendency  4
Word of Honor,4.17,0.0,Goodreads_Real,word of honor
Dancing On Air,4.0,0.0,Goodreads_Real,dancing on air
First Love: A Gothic Tale,3.19,0.0,Goodreads_Real,first love a gothic tale
The King in the Window,3.6,0.0,Goodreads_Real,the king in the window
Die Umarmung des Todes,3.92,0.0,Goodreads_Real,die umarmung des todes
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",2.0,29.17,Scraped_Fictional,i hate fairyland vol 1 madly ever after i hate fairyland compilations 15
Tales From Shakespeare,3.96,0.0,Goodreads_Real,tales from shakespeare
Your Cheatin' Heart,3.69,0.0,Goodreads_Real,your cheatin heart
A Bite to Remember (Argeneau #5),4.24,0.0,Goodreads_Real,a bite to remember argeneau 5
The Poet (Jack McEvoy  #1; Harry Bosch Universe  #5),4.2,0.0,Goodreads_Real,the poet jack mcevoy  1 harry bosch universe  5
Seventeen and In-Between,3.81,0.0,Goodreads_Real,seventeen and inbetween
The Richness of Life: The Essential Stephen Jay Gould,4.25,0.0,Goodreads_Real,the richness of life the essential stephen jay gould
The Fires of Heaven (The Wheel of Time  #5),4.16,0.0,Goodreads_Real,the fires of heaven the wheel of time  5
Hard Freeze (Joe Kurtz  #2),3.84,0.0,Goodreads_Real,hard freeze joe kurtz  2
The Communist Manifesto,3.55,0.0,Goodreads_Real,the communist manifesto
Kilo Class (Admiral Arnold Morgan  #2),4.05,0.0,Goodreads_Real,kilo class admiral arnold morgan  2
A Door of Hope,3.97,0.0,Goodreads_Real,a door of hope
Ghost in the Shell,4.18,0.0,Goodreads_Real,ghost in the shell
His Dark Materials Omnibus (His Dark Materials),4.26,0.0,Goodreads_Real,his dark materials omnibus his dark materials
Hoot,3.82,0.0,Goodreads_Real,hoot
Dragon's Eye,3.51,0.0,Goodreads_Real,dragons eye
Symptomatic,3.32,0.0,Goodreads_Real,symptomatic
Vampires Don't Wear Polka Dots (The Adventures of the Bailey School Kids  #1),3.81,0.0,Goodreads_Real,vampires dont wear polka dots the adventures of the bailey school kids  1
Throne of Jade (Temeraire  #2),3.89,0.0,Goodreads_Real,throne of jade temeraire  2
Focus: The Future of Your Company Depends on It,4.06,0.0,Goodreads_Real,focus the future of your company depends on it
Guns  Germs and Steel: The Fates of Human Societies,4.03,0.0,Goodreads_Real,guns  germs and steel the fates of human societies
The Day of the Tempest (Dragonlance: Dragons of a New Age  #2),3.65,0.0,Goodreads_Real,the day of the tempest dragonlance dragons of a new age  2
Maps for Lost Lovers,3.78,0.0,Goodreads_Real,maps for lost lovers
Pimsleur German Level 1 CD: [Lessons 1-30],4.23,0.0,Goodreads_Real,pimsleur german level 1 cd lessons 130
Crime and Punishment,4.21,0.0,Goodreads_Real,crime and punishment
The Nixie's Song (Beyond the Spiderwick Chronicles  #1),3.73,0.0,Goodreads_Real,the nixies song beyond the spiderwick chronicles  1
The Short Stories,4.26,0.0,Goodreads_Real,the short stories
Murder in Amsterdam: The Death of Theo van Gogh and the Limits of Tolerance,3.72,0.0,Goodreads_Real,murder in amsterdam the death of theo van gogh and the limits of tolerance
Mary Shelley: Her Life  Her Fiction  Her Monsters,3.9,0.0,Goodreads_Real,mary shelley her life  her fiction  her monsters
Piercing the Darkness (Darkness  #2),4.32,0.0,Goodreads_Real,piercing the darkness darkness  2
Antigone's Claim: Kinship Between Life and Death,3.76,0.0,Goodreads_Real,antigones claim kinship between life and death
No Dominion (Joe Pitt  #2),3.99,0.0,Goodreads_Real,no dominion joe pitt  2
The Christians and the Fall of Rome (Great Ideas),3.56,0.0,Goodreads_Real,the christians and the fall of rome great ideas
Desde mi cielo,3.81,0.0,Goodreads_Real,desde mi cielo
CliffsNotes on Faulkner's The Sound and the Fury (Cliffs Notes),3.74,0.0,Goodreads_Real,cliffsnotes on faulkners the sound and the fury cliffs notes
The Complete Dick Tracy Volume 1: 1931-1933,4.02,0.0,Goodreads_Real,the complete dick tracy volume 1 19311933
The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,3.4,0.0,Goodreads_Real,the coming economic collapse how you can thrive when oil costs 200 a barrel
Welcome to Temptation (Dempseys  #1),3.94,0.0,Goodreads_Real,welcome to temptation dempseys  1
American Splendor: Another Day,3.71,0.0,Goodreads_Real,american splendor another day
The Burnt Orange Heresy,3.9,0.0,Goodreads_Real,the burnt orange heresy
Small Gods (Discworld  #13),4.29,0.0,Goodreads_Real,small gods discworld  13
Bridget Jones's Guide to Life,3.49,0.0,Goodreads_Real,bridget joness guide to life
Brave New World,3.99,0.0,Goodreads_Real,brave new world
Huxley and God: Essays on Religious Experience,4.3,0.0,Goodreads_Real,huxley and god essays on religious experience
A Caribbean Mystery (Miss Marple  #10),3.8,0.0,Goodreads_Real,a caribbean mystery miss marple  10
Jojo's Bizarre Adventure  Tome 1: Dio  L'envahisseur (Phantom Blood  #1),3.88,0.0,Goodreads_Real,jojos bizarre adventure  tome 1 dio  lenvahisseur phantom blood  1
Also sprach Zarathustra: Ein Buch für Alle und Keinen.,4.06,0.0,Goodreads_Real,also sprach zarathustra ein buch für alle und keinen
The Southern Haunting of Truman Capote,3.9,0.0,Goodreads_Real,the southern haunting of truman capote
Henry Miller on Writing,4.22,0.0,Goodreads_Real,henry miller on writing
Metamorphoses,4.05,0.0,Goodreads_Real,metamorphoses
The Basic Problems of Phenomenology (Studies in Phenomenology & Existential Philosophy),4.29,0.0,Goodreads_Real,the basic problems of phenomenology studies in phenomenology  existential philosophy
Mary Engelbreit's Home Companion,4.12,0.0,Goodreads_Real,mary engelbreits home companion
It's Only the Himalayas,2.0,45.17,Scraped_Fictional,its only the himalayas
Count Zero (Sprawl  #2),4.01,0.0,Goodreads_Real,count zero sprawl  2
Eggs  Beans  and Crumpets,4.11,0.0,Goodreads_Real,eggs  beans  and crumpets
Time for Ballet,3.72,0.0,Goodreads_Real,time for ballet
Get Out of Your Mind and Into Your Life: The New Acceptance and Commitment Therapy,4.05,0.0,Goodreads_Real,get out of your mind and into your life the new acceptance and commitment therapy
The Theban Plays: Antigone  King Oidipous & Oidipous at Colonus (Focus Classical Library),3.97,0.0,Goodreads_Real,the theban plays antigone  king oidipous  oidipous at colonus focus classical library
First and First (Five Boroughs #3),4.0,15.97,Scraped_Fictional,first and first five boroughs 3
Unlimited Power: The New Science Of Personal Achievement,4.23,0.0,Goodreads_Real,unlimited power the new science of personal achievement
The Sleepwalkers: A History of Man's Changing Vision of the Universe,4.25,0.0,Goodreads_Real,the sleepwalkers a history of mans changing vision of the universe
Pilgrims and Other Stories,3.13,0.0,Goodreads_Real,pilgrims and other stories
Poetry  Tales and Selected Essays,4.41,0.0,Goodreads_Real,poetry  tales and selected essays
Beloved,3.83,0.0,Goodreads_Real,beloved
Tomie 1  ??,3.94,0.0,Goodreads_Real,tomie 1  
La caída,4.04,0.0,Goodreads_Real,la caída
The Collected Letters of C.S. Lewis  Volume 1: Family Letters  1905-1931,4.36,0.0,Goodreads_Real,the collected letters of cs lewis  volume 1 family letters  19051931
Star Wars Episode 1: The Phantom Menace Illustrated Screenplay,3.92,0.0,Goodreads_Real,star wars episode 1 the phantom menace illustrated screenplay
Heart of Darkness,3.42,0.0,Goodreads_Real,heart of darkness
Feast of Souls (The Magister Trilogy  #1),3.89,0.0,Goodreads_Real,feast of souls the magister trilogy  1
Blink 182,4.42,0.0,Goodreads_Real,blink 182
The Hermit's Story,4.12,0.0,Goodreads_Real,the hermits story
Age of Iron,3.84,0.0,Goodreads_Real,age of iron
Nimitz Class (Admiral Arnold Morgan  #1),3.92,0.0,Goodreads_Real,nimitz class admiral arnold morgan  1
Storm of the Century: An Original Screenplay,3.92,0.0,Goodreads_Real,storm of the century an original screenplay
The Puritan Dilemma: The Story of John Winthrop,3.41,0.0,Goodreads_Real,the puritan dilemma the story of john winthrop
Der Prophet,4.23,0.0,Goodreads_Real,der prophet
The Theory and Practice of Group Psychotherapy,4.17,0.0,Goodreads_Real,the theory and practice of group psychotherapy
Me vs. Me,3.67,0.0,Goodreads_Real,me vs me
All of Us: The Collected Poems,4.3,0.0,Goodreads_Real,all of us the collected poems
Del amor y otros demonios,3.98,0.0,Goodreads_Real,del amor y otros demonios
The MacGregors: Serena & Caine (The MacGregors  #1 -2),4.09,0.0,Goodreads_Real,the macgregors serena  caine the macgregors  1 2
Giving Good Weight,4.23,0.0,Goodreads_Real,giving good weight
A Million Little Pieces of Feces,3.56,0.0,Goodreads_Real,a million little pieces of feces
The 9/11 Commission Report: Final Report of the National Commission on Terrorist Attacks Upon the United States,3.6,0.0,Goodreads_Real,the 911 commission report final report of the national commission on terrorist attacks upon the united states
The Truelove Bride,3.65,0.0,Goodreads_Real,the truelove bride
Flags of Our Fathers,4.19,0.0,Goodreads_Real,flags of our fathers
The Crack-Up,3.92,0.0,Goodreads_Real,the crackup
Making a Change for Good: A Guide to Compassionate Self-Discipline,3.93,0.0,Goodreads_Real,making a change for good a guide to compassionate selfdiscipline
Flirting With Danger (Samantha Jellicoe  #1),3.93,0.0,Goodreads_Real,flirting with danger samantha jellicoe  1
The Inheritors,3.52,0.0,Goodreads_Real,the inheritors
Dragon's Gate (Golden Mountain Chronicles  #3),3.67,0.0,Goodreads_Real,dragons gate golden mountain chronicles  3
Cloudy With a Chance of Meatballs (Cloudy with a Chance of Meatballs  #1),4.16,0.0,Goodreads_Real,cloudy with a chance of meatballs cloudy with a chance of meatballs  1
Blink-182: Tales from Beneath Your Mom,4.39,0.0,Goodreads_Real,blink182 tales from beneath your mom
Hyperion (Los Cantos de Hyperion  #1),4.24,0.0,Goodreads_Real,hyperion los cantos de hyperion  1
All I Really Need to Know I Learned in Kindergarten,4.03,0.0,Goodreads_Real,all i really need to know i learned in kindergarten
Dirty Little Secrets (Marisela Morales/Dirty #1),3.58,0.0,Goodreads_Real,dirty little secrets marisela moralesdirty 1
A Long Way from Chicago (A Long Way from Chicago  #1),3.94,0.0,Goodreads_Real,a long way from chicago a long way from chicago  1
The Tragedy of Pudd'nhead Wilson,3.79,0.0,Goodreads_Real,the tragedy of puddnhead wilson
The Book of Evidence (The Freddie Montgomery Trilogy #1),3.71,0.0,Goodreads_Real,the book of evidence the freddie montgomery trilogy 1
The Death of Virgil,4.19,0.0,Goodreads_Real,the death of virgil
The Metamorphosis  In the Penal Colony  and Other Stories: The Great Short Works of Franz Kafka,4.04,0.0,Goodreads_Real,the metamorphosis  in the penal colony  and other stories the great short works of franz kafka
The Landing of the Pilgrims,3.41,0.0,Goodreads_Real,the landing of the pilgrims
In Pharaoh's Army: Memories of the Lost War,4.08,0.0,Goodreads_Real,in pharaohs army memories of the lost war
The Concrete Blonde (Harry Bosch  #3),4.16,0.0,Goodreads_Real,the concrete blonde harry bosch  3
Mayada  Daughter of Iraq: One Woman's Survival Under Saddam Hussein,4.0,0.0,Goodreads_Real,mayada  daughter of iraq one womans survival under saddam hussein
The Professor of Desire,3.66,0.0,Goodreads_Real,the professor of desire
Thirst,4.36,0.0,Goodreads_Real,thirst
The Perennial Philosophy,4.19,0.0,Goodreads_Real,the perennial philosophy
Whitethorn Woods,3.61,0.0,Goodreads_Real,whitethorn woods
I Like You: Hospitality Under the Influence,3.88,0.0,Goodreads_Real,i like you hospitality under the influence
Factotum,3.97,0.0,Goodreads_Real,factotum
NYC Ballet Workout,4.01,0.0,Goodreads_Real,nyc ballet workout
Expelled from Eden: A William T. Vollmann Reader,4.06,0.0,Goodreads_Real,expelled from eden a william t vollmann reader
The Foretelling,3.84,0.0,Goodreads_Real,the foretelling
The Iliad,3.86,0.0,Goodreads_Real,the iliad
The Summons / The Brethren,3.99,0.0,Goodreads_Real,the summons  the brethren
Cliffs Notes on Cervantes' Don Quixote,3.61,0.0,Goodreads_Real,cliffs notes on cervantes don quixote
Dispatches from the Tenth Circle: The Best of the Onion,4.21,0.0,Goodreads_Real,dispatches from the tenth circle the best of the onion
Son of the Shadows (Sevenwaters  #2),4.33,0.0,Goodreads_Real,son of the shadows sevenwaters  2
Cromartie High School  Vol. 02,4.19,0.0,Goodreads_Real,cromartie high school  vol 02
Tyranny of the Majority: Fundamental Fairness in Representative Democracy,3.87,0.0,Goodreads_Real,tyranny of the majority fundamental fairness in representative democracy
World's Fair,3.83,0.0,Goodreads_Real,worlds fair
Christian Mythmakers: C.S. Lewis  Madeleine L'Engle  J.R.R. Tolkien  George MacDonald  G.K. Chesterton  Charles Williams  Dante Alighieri  John Bunyan  Walter Wangerin  Robert Siegel  and Hannah Hurnard,3.93,0.0,Goodreads_Real,christian mythmakers cs lewis  madeleine lengle  jrr tolkien  george macdonald  gk chesterton  charles williams  dante alighieri  john bunyan  walter wangerin  robert siegel  and hannah hurnard
Dubliners,3.85,0.0,Goodreads_Real,dubliners
Leadership Challenge,4.05,0.0,Goodreads_Real,leadership challenge
Harrison's Principles of Internal Medicine,4.35,0.0,Goodreads_Real,harrisons principles of internal medicine
1599: A Year in the Life of William Shakespeare,4.09,0.0,Goodreads_Real,1599 a year in the life of william shakespeare
Micro Eco-Farming: Prospering from Backyard to Small Acreage in Partnership with the Earth,3.76,0.0,Goodreads_Real,micro ecofarming prospering from backyard to small acreage in partnership with the earth
Possession,3.89,0.0,Goodreads_Real,possession
Empire (Empire  #1),3.43,0.0,Goodreads_Real,empire empire  1
A Redwall Winter's Tale,4.13,0.0,Goodreads_Real,a redwall winters tale
The Best Short Stories of Edith Wharton,3.77,0.0,Goodreads_Real,the best short stories of edith wharton
Regeneration (Species Imperative  #3),4.13,0.0,Goodreads_Real,regeneration species imperative  3
Around the World in Eighty Days,3.93,0.0,Goodreads_Real,around the world in eighty days
Postmortem (Kay Scarpetta  #1),4.02,0.0,Goodreads_Real,postmortem kay scarpetta  1
Old Town in the Green Groves: Laura Ingalls Wilder's Lost Little House Years,4.05,0.0,Goodreads_Real,old town in the green groves laura ingalls wilders lost little house years
Wuthering Heights,3.85,0.0,Goodreads_Real,wuthering heights
Planet of the Apes  Volume 1: Old Gods,2.62,0.0,Goodreads_Real,planet of the apes  volume 1 old gods
Judy Moody  M.D.: The Doctor is In! (Judy Moody #5),4.08,0.0,Goodreads_Real,judy moody  md the doctor is in judy moody 5
The Dogs of Riga (Kurt Wallander  #2),3.72,0.0,Goodreads_Real,the dogs of riga kurt wallander  2
When Heaven and Earth Changed Places: A Vietnamese Woman's Journey from War to Peace,4.12,0.0,Goodreads_Real,when heaven and earth changed places a vietnamese womans journey from war to peace
Desiring God: Meditations of a Christian Hedonist,4.14,0.0,Goodreads_Real,desiring god meditations of a christian hedonist
The Wind-Up Bird Chronicle,4.17,0.0,Goodreads_Real,the windup bird chronicle
Far to Go (Margaret Thursday  #2),3.81,0.0,Goodreads_Real,far to go margaret thursday  2
Gabriel García Márquez: One Hundred Years of Solitude,4.54,0.0,Goodreads_Real,gabriel garcía márquez one hundred years of solitude
First  Last and Always (Sweet Dreams  #96),3.76,0.0,Goodreads_Real,first  last and always sweet dreams  96
The Hungry Tide,3.95,0.0,Goodreads_Real,the hungry tide
The Lost Continent:  Travels in Small-town America,3.83,0.0,Goodreads_Real,the lost continent  travels in smalltown america
Marine Conservation Biology: The Science of Maintaining the Sea's Biodiversity,4.59,0.0,Goodreads_Real,marine conservation biology the science of maintaining the seas biodiversity
A Mortal Bane (Magdalene La Batarde  #1),3.9,0.0,Goodreads_Real,a mortal bane magdalene la batarde  1
The Book of Merlyn: The Unpublished Conclusion to The Once & Future King,3.96,0.0,Goodreads_Real,the book of merlyn the unpublished conclusion to the once  future king
The Vampire Armand (The Vampire Chronicles  #6),3.76,0.0,Goodreads_Real,the vampire armand the vampire chronicles  6
The Little Butterfly,4.03,0.0,Goodreads_Real,the little butterfly
Sailor Moo: Cow at Sea,4.07,0.0,Goodreads_Real,sailor moo cow at sea
Bleach  Volume 01,4.22,0.0,Goodreads_Real,bleach  volume 01
Plato on Knowledge and Reality,3.67,0.0,Goodreads_Real,plato on knowledge and reality
Insects & Spiders,4.5,0.0,Goodreads_Real,insects  spiders
Fantastic Alice,3.4,0.0,Goodreads_Real,fantastic alice
CliffsNotes on Faulkner's Absalom  Absalom!,3.12,0.0,Goodreads_Real,cliffsnotes on faulkners absalom  absalom
Warlock (Ancient Egypt  #3),4.04,0.0,Goodreads_Real,warlock ancient egypt  3
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",2.0,28.09,Scraped_Fictional,avatar the last airbender smoke and shadow part 3 smoke and shadow 3
The Wonderful Story of Henry Sugar and Six More,4.14,0.0,Goodreads_Real,the wonderful story of henry sugar and six more
The Writer of Modern Life: Essays on Charles Baudelaire,4.3,0.0,Goodreads_Real,the writer of modern life essays on charles baudelaire
Death of an Outsider (Hamish Macbeth  #3),3.83,0.0,Goodreads_Real,death of an outsider hamish macbeth  3
On the Trail of Mary  Queen of Scots,3.25,0.0,Goodreads_Real,on the trail of mary  queen of scots
Don Quixote,3.87,0.0,Goodreads_Real,don quixote
On the Bus: The Complete Guide to the Legendary Trip of Ken Kesey and the Merry Pranksters and the Birth of Counterculture,3.86,0.0,Goodreads_Real,on the bus the complete guide to the legendary trip of ken kesey and the merry pranksters and the birth of counterculture
Devil May Care,3.87,0.0,Goodreads_Real,devil may care
Fahrenheit 451,3.99,0.0,Goodreads_Real,fahrenheit 451
Juan Rulfo's Mexico,4.47,0.0,Goodreads_Real,juan rulfos mexico
Blue Ocean Strategy: How to Create Uncontested Market Space and Make the Competition Irrelevant,3.91,0.0,Goodreads_Real,blue ocean strategy how to create uncontested market space and make the competition irrelevant
Life Is a Dream,3.98,0.0,Goodreads_Real,life is a dream
The Lord of the Rings: The Return of the King - Visual Companion,4.59,0.0,Goodreads_Real,the lord of the rings the return of the king  visual companion
The Evidence-Based Social Work Skills Book,3.4,0.0,Goodreads_Real,the evidencebased social work skills book
What Life Was Like in the Realm of Elizabeth: England  AD 1533-1603 (What Life Was Like),3.72,0.0,Goodreads_Real,what life was like in the realm of elizabeth england  ad 15331603 what life was like
Collected Stories I: Gimpel the Fool to The Letter Writer,4.49,0.0,Goodreads_Real,collected stories i gimpel the fool to the letter writer
User,3.37,0.0,Goodreads_Real,user
Quiver,3.51,0.0,Goodreads_Real,quiver
Lord of Light,4.1,0.0,Goodreads_Real,lord of light
Motel Blues,3.83,0.0,Goodreads_Real,motel blues
Anne Frank: Life in Hiding,3.99,0.0,Goodreads_Real,anne frank life in hiding
The Courtesan (The Dark Queen Saga  #2),3.9,0.0,Goodreads_Real,the courtesan the dark queen saga  2
Music of the Meadow (Little Einsteins Early Reader),3.7,0.0,Goodreads_Real,music of the meadow little einsteins early reader
Legends  Lies  Cherished Myths of World History,3.47,0.0,Goodreads_Real,legends  lies  cherished myths of world history
The Ruined Map,3.55,0.0,Goodreads_Real,the ruined map
Little Women  Little Men  Jo's Boys,4.33,0.0,Goodreads_Real,little women  little men  jos boys
Beef,3.96,0.0,Goodreads_Real,beef
Yeah  I Said It,3.71,0.0,Goodreads_Real,yeah  i said it
The Love You Make: An Insider's Story of the Beatles,4.08,0.0,Goodreads_Real,the love you make an insiders story of the beatles
If the River Was Whiskey,3.94,0.0,Goodreads_Real,if the river was whiskey
Kokopelli: The Magic  Mirth  and Mischief of an Ancient Symbol,3.69,0.0,Goodreads_Real,kokopelli the magic  mirth  and mischief of an ancient symbol
A General Theory of Love,4.11,0.0,Goodreads_Real,a general theory of love
Eugene Onegin: A Novel in Verse (Vol. 1),4.09,0.0,Goodreads_Real,eugene onegin a novel in verse vol 1
Leaving the 20th Century: The Incomplete Work of the Situationist International,4.1,0.0,Goodreads_Real,leaving the 20th century the incomplete work of the situationist international
El catalejo lacado (La Materia Oscura  #3),4.09,0.0,Goodreads_Real,el catalejo lacado la materia oscura  3
Mistletoe,3.41,0.0,Goodreads_Real,mistletoe
Study Guide to Accompany Brunner and Suddarth's Textbook of Medical-Surgical Nursing,4.0,0.0,Goodreads_Real,study guide to accompany brunner and suddarths textbook of medicalsurgical nursing
Ghost Ship: A Cape Cod Story,3.73,0.0,Goodreads_Real,ghost ship a cape cod story
????? 9?????,4.27,0.0,Goodreads_Real, 9
Gray Matter and Other Stories from Night Shift,3.93,0.0,Goodreads_Real,gray matter and other stories from night shift
Geek Love,3.97,0.0,Goodreads_Real,geek love
The Double and The Gambler,4.16,0.0,Goodreads_Real,the double and the gambler
Charles Dickens' A Christmas Carol,4.1,0.0,Goodreads_Real,charles dickens a christmas carol
Ready or Not (All-American Girl  #2),3.4,0.0,Goodreads_Real,ready or not allamerican girl  2
A Philosophical Enquiry into the Origin of our Ideas of the Sublime and Beautiful,3.76,0.0,Goodreads_Real,a philosophical enquiry into the origin of our ideas of the sublime and beautiful
You Don't Know Jack (NY Girlfriends  #2),3.72,0.0,Goodreads_Real,you dont know jack ny girlfriends  2
Writing the Novel: From Plot to Print,3.95,0.0,Goodreads_Real,writing the novel from plot to print
Tsubasa: RESERVoir CHRoNiCLE  Vol. 3,4.28,0.0,Goodreads_Real,tsubasa reservoir chronicle  vol 3
Apollodorus' Library and Hyginus' Myths: Two Handbooks of Greek Mythology,3.98,0.0,Goodreads_Real,apollodorus library and hyginus myths two handbooks of greek mythology
The Bear and the Piano,1.0,36.89,Scraped_Fictional,the bear and the piano
Freaks of the Storm: From Flying Cows to Stealing Thunder: The World's Strangest True Weather Stories,3.17,0.0,Goodreads_Real,freaks of the storm from flying cows to stealing thunder the worlds strangest true weather stories
Tears (Fearless  #15),3.97,0.0,Goodreads_Real,tears fearless  15
On Basilisk Station (Honor Harrington  #1),4.13,0.0,Goodreads_Real,on basilisk station honor harrington  1
And Then There Were None,4.26,0.0,Goodreads_Real,and then there were none
Gertrud,3.85,0.0,Goodreads_Real,gertrud
Naked Empire (Sword of Truth  #8),3.81,0.0,Goodreads_Real,naked empire sword of truth  8
The Lord of the Rings: The Two Towers: Visual Companion,4.51,0.0,Goodreads_Real,the lord of the rings the two towers visual companion
Good in Bed (Cannie Shapiro  #1),3.72,0.0,Goodreads_Real,good in bed cannie shapiro  1
Plan B: Further Thoughts on Faith,4.05,0.0,Goodreads_Real,plan b further thoughts on faith
Success Stories,3.72,0.0,Goodreads_Real,success stories
PS I Love You Baby Collection,4.43,0.0,Goodreads_Real,ps i love you baby collection
The Blonde on the Street Corner,3.71,0.0,Goodreads_Real,the blonde on the street corner
Transmetropolitan  Vol. 2: Lust for Life,4.34,0.0,Goodreads_Real,transmetropolitan  vol 2 lust for life
The Gunslinger,4.1,0.0,Goodreads_Real,the gunslinger
The Feynman Lectures on Physics Vols 3-4,4.71,0.0,Goodreads_Real,the feynman lectures on physics vols 34
On the Origins of War and the Preservation of Peace,4.01,0.0,Goodreads_Real,on the origins of war and the preservation of peace
